ID;Item Number;Suffix 1;Suffix 2;ItemNo;Device Type;Manufacturer;Delimiter;Part Number;Major Functions;Horizontal/Vertical;Rack/Panel;RU;Zones of Protection;Power Supply Voltage;Control Voltage;AC/DC Control Voltage;AC Current Input;AC Voltage Input;Standard Inputs 1;Standard Input Type 1;Standard Inputs 2;Standard Input Type 2;Standard Outputs 1;Standard Output Type 1;Standard Outputs 2;Standard Output Type 2;Additional Board 1;Board 1 Additional Inputs 1;Board 1 Additional Input Type 1;Board 1 Additional Inputs 2;Board 1 Additional Input Type 2;Board 1 Additional Outputs 1;Board 1 Additional Output Type 1;Board 1 Additional Outputs 2;Board 1 Additional Output Type 2;Additional Board 2;Board 2 Additional Inputs 1;Board 2 Additional Input Type 1;Board 2 Additional Inputs 2;Board 2 Additional Input Type 2;Board 2 Additional Outputs 1;Board 2 Additional Output Type 1;Board 2 Additional Outputs 2;Board 2 Additional Output Type 2;Additional Board 3;Board 3 Additional Inputs 1;Board 3 Additional Input Type 1;Board 3 Additional Inputs 2;Board 3 Additional Input Type 2;Board 3 Additional Outputs 1;Board 3 Additional Output Type 1;Board 3 Additional Outputs 2;Board 3 Additional Output Type 2;User Interface;Communications;Coil Operation Voltage;AC/DC Coil Operation Voltage;Handle Style;Spring Return/Maintain;Qty of Decks;Meter Form;Number of Phases;Number of Wires;Test Switch Arrangement;Test Switch Arrangement A;Test Switch Arrangement B;Test Switch Arrangement C;Test Switch Cover;Lamp Voltage;AC/DC Lamp Voltage;Lamp color;Lens color;Catalog cut included;Length;Length Unit;Comm Int Type 1;Comm Int Qty 1;Comm Int Type 2;Comm Int Qty 2;Comm Int Type 3;Comm Int Qty 3;Comm Int Type 4;Comm Int Qty 4;Comm Int Type 5;Comm Int Qty 5;Comm Int Type 6;Comm Int Qty 6;Comm Int Type 7;Comm Int Qty 7;Comm Int Type 8;Comm Int Qty 8;Reset;Common Material;Need to add to ACADE Cat;Need to add Footprint for ACADE;Inventory Quantity;Inventory Location;Photo on file;Itemize Price;Short Name;Status;StatusReason;WnSingleAll;WnSingleTerm;Wn2Wire;Wn3Wire;WnAWGRec;WnAWGRecAll;WnAWGRecTerms;WnTSPAll;WnTSPTerms;WnTerm;WnTermBlank;WnJumperItem;WnJumperUse;WnGround;WnOther
174;200;A;;200A;Miscellaneous;SEL;;C273A-003;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
175;200;G;;200G;Miscellaneous;SEL;;C273A-020;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
176;200;H;;200H;Miscellaneous;SEL;;C273A-025;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
177;201;A;;201A;Miscellaneous;SEL;;C808Z020LSX0001;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
180;202;A;;202A;Miscellaneous;SEL;;C953-003;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
182;203;A;;203A;Miscellaneous;SEL;;C965-003;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
184;35;C;;35C;Rotary Switch;SEL;;RS86=4HFK;Lock-out relay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;DC;Pistol grip;;8;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;Manual;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
185;999;;;999;Relay;SEL;Delimitered;123-456-ABC;Fake item for testing;;;;;;48;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;9 (4-wire wye;3 PTs, 3 CTs);;;;;;;Full length, clear;;;;;1;7;inches;10/100Base-T;2;Carrier pigeon;1;USB B;2;;;;;;;;;;;;0;0;1;;;0;1;SAMPLE PART FOR TESTING;OBSOLETE;Smells funny.;0;;0;0;;0;;0;;;0;;;;This item dosen't actually exist.
187;200;B;;200B;Miscellaneous;SEL;;C273A-0189;200;E;;200E;Miscellaneous;SEL;;C273A-010;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
190;200;F;;200F;Miscellaneous;SEL;;C273A-015;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
191;200;J;;200J;Miscellaneous;SEL;;C273A-030;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
192;200;K;;200K;Miscellaneous;SEL;;C273A-035;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
193;200;L;;200L;Miscellaneous;SEL;;C273A-040;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;40;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
194;200;C;;200C;Miscellaneous;SEL;;C273A-005;EIA-232 serial cable with IRIG, PVC jacketed, standard-shielded, male DB9 to male DB9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
196;201;B;;201B;Miscellaneous;SEL;;C808Z020LSX0002;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
197;201;C;;201C;Miscellaneous;SEL;;C808Z020LSX0003;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
198;201;D;;201D;Miscellaneous;SEL;;C808Z020LSX0005;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
199;201;E;;201E;Miscellaneous;SEL;;C808Z020LSX0007;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
200;201;F;;201F;Miscellaneous;SEL;;C808Z020LSX0008;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;8;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
201;201;G;;201G;Miscellaneous;SEL;;C808Z020LSX0010;62.5/125 �m multimode fiber-optic cable, 2-fiber zipcord, LC connector to ST connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;meters;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
202;202;B;;202B;Miscellaneous;SEL;;C953-004;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
203;202;C;;202C;Miscellaneous;SEL;;C953-005;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
204;202;D;;202D;Miscellaneous;SEL;;C953-006;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
205;202;E;;202E;Miscellaneous;SEL;;C953-010;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
206;202;F;;202F;Miscellaneous;SEL;;C953-015;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
207;202;G;;202G;Miscellaneous;SEL;;C953-020;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
208;202;H;;202H;Miscellaneous;SEL;;C953-025;RG-58A/U coax cable, male BNC connectors on both ends, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
209;203;B;;203B;Miscellaneous;SEL;;C965-004;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
210;203;C;;203C;Miscellaneous;SEL;;C965-005;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
211;203;D;;203D;Miscellaneous;SEL;;C965-006;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
212;203;E;;203E;Miscellaneous;SEL;;C965-010;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
213;203;F;;203F;Miscellaneous;SEL;;C965-015;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
214;203;G;;203G;Miscellaneous;SEL;;C965-020;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
215;203;H;;203H;Miscellaneous;SEL;;C965-025;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
216;203;J;;203J;Miscellaneous;SEL;;C965-030;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
217;203;K;;203K;Miscellaneous;SEL;;C965-035;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
218;203;L;;203L;Miscellaneous;SEL;;C965-040;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;40;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
219;203;M;;203M;Miscellaneous;SEL;;C965-045;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;45;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
220;203;N;;203N;Miscellaneous;SEL;;C965-050;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;50;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
225;204;A;;204A;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
226;204;B;;204B;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
227;204;C;;204C;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
228;204;D;;204D;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
229;204;E;;204E;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
230;204;F;;204F;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
231;204;G;;204G;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;20;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
232;204;H;;204H;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
233;204;J;;204J;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;30;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
234;204;K;;204K;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;35;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
235;204;L;;204L;Miscellaneous;;;;CAT5 cable, shielded, with RJ45 connectors on both ends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;40;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
236;103;A;;103A;Miscellaneous;GE;;EB27B12S;Terminal block, shorting type, 12 point, 10-32 washer head screws;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
237;35;D;;35D;Rotary Switch;Electroswitch;Series 24;7808C;Lock-out relay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;DC;Oval;;8;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;Manual;0;1;1;;;0;1;ELECTROSWITCH LOCKOUT RELAY;;;0;;0;0;;0;;0;;;0;;;;
239;31;E;;31E;Rotary Switch;Electroswitch;Series 24;24203C;Selector switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Round - knurled;Maintain;3;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;ELECTROSWITCH SELECTOR SWITCH;;;0;;0;0;;0;;0;;;0;;;;
241;8;;;8;Relay;SEL;;3355#H79D;Rugged computer Processor: Intel i7-3555LE Dual Core 2.5GHz Hard drive: 60GB SSD, 60GB SSD, 250GB SSD RAM: 8GB DDR3 1333MHz ECC OS: Microsoft Windows 10 IoT Enterprise LTSB;Horizontal;Rack;3;;125/250V DC or 120/240V AC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;2;10/100Base-T;2;USB A;4;HD analog audio ports;3;DVI-D;1;DVI-I;1;Displayport;1;10/100Base-T at PCI 4;4;;0;1;1;;;0;1;SEL COMPUTER;;;0;;0;0;;0;;0;;;0;;;;
242;3;B;;3B;Relay;SEL;;0487E4X411XXC4X4H74444X;Current differential relay with 18 current inputs and 6 voltage inputs;Horizontal;Rack;7;;48-125V DC or 110-120V AC;125;DC;5;300;7;optoisolated inputs;2;outputs;3;high current outputs;3;form C outputs;;24;optoisolated inputs;;;8;outputs;;;;24;optoisolated inputs;;;8;outputs;;;;;;;;;;;;Programmable pushbuttons;FTP, Telnet, DNP3 LAN/WAN, PRP, IEC 61850;;;;;;;;;;;;;;;;;;1;;;EIA-232 DB9;3;10/100Base-T;1;100Base-FX MM LC;1;BNC IRIG;1;;;;;;;;;;0;1;1;;;0;1;SEL-487 RELAY;;;0;;0;0;;0;;0;;;0;;;;
243;91;A;;91A;Miscellaneous;;;;Pull-out shelf for laptop;;Rack;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
244;47;;;47;Test Switch;ABB;Type FT-19R;FRXG 171 001 001;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C-C,C-C,C-C,P,P,P,P;P,P,P,P,P,P,P,P,P,P;P,P,P,P,P,P,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
245;46;;;46;Test Switch;ABB;Type FT-19R;FRXG 171 171 171;Test switch, 30-pole;;Rack;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C-C,C-C,C-C,P,P,P,P;C-C,C-C,C-C,P,P,P,P;C-C,C-C,C-C,P,P,P,P;Full length, clear;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
246;102;B;;102B;Panel Material;;;;Ground bus, 1/2' x 1/4' copper, vertically between the cable entrance and the terminal 250;203;S;;203S;Miscellaneous;SEL;;C965-065;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;65;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
251;203;T;;203T;Miscellaneous;SEL;;C965-070;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;70;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
252;203;U;;203U;Miscellaneous;SEL;;C965-075;RG-8X, TNC male to TNC male cable, 50O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;75;feet;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
253;11;E;;11E;Clock/Comm. Proc./Revenue Meter;SEL;;24010XXX0;Satellite clock;;Panel;;;5V or 9-30V DC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;BNC IRIG Out;1;TNC;1;EIA-232 DB9;1;;;;;;;;;;;;0;1;1;;;0;1;SEL-2401 SATELLITE CLOCK;;;1;;0;0;16-18;1;;0;;;0;;;;
254;11;F;;11F;Clock/Comm. Proc./Revenue Meter;SEL;;240-1801;BNC tee, F/F/M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
255;125;A;;125A;Miscellaneous;SEL;;932130X;DC supply Input: 48/125 Vdc or 125 Vac Output: 5V DC, 1A and 10V DC, 0.1A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;1;;0;0;;0;;0;;;0;;;;Wire size is not specified, so AWG 12 may be too large.
256;111;F;;111F;Miscellaneous;Eaton;Bussman;FRN-R-1/2;Fuse, 250V, 0.5A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;0;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
257;11;H;;11H;Clock/Comm. Proc./Revenue Meter;SEL;;915900044;Antenna surface mounting kit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;0;;;;0;;0;0;;0;;0;;;0;;;;
258;11;G;;11G;Clock/Comm. Proc./Revenue Meter;SEL;;9524A;GPS GNSS antenna for satellite clock;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;0;1;1;;;0;1;SEL-9524A SATELLITE ANTENNA;;;0;;0;0;;0;;0;;;0;;;;
